Article_ID,Coord_X,Coord_Y
1,-51.199703,-40.407032
2,-11.5293865,2.902726
3,12.679198,24.022596
4,-62.05778,-4.3273487
5,-16.237858,-17.208748
6,-35.76795,12.310021
7,39.85875,4.9501266
8,19.334297,21.933178
9,19.075663,21.766575
10,19.534945,22.075642
11,4.590378,1.0607392
12,10.158477,24.59924
13,-59.93325,-3.3903546
14,83.44083,2.52353
15,10.083602,17.804827
16,45.404083,36.76792
17,-58.805004,-1.3955696
18,53.834118,3.792922
19,21.169893,-37.065926
20,30.251497,-40.622246
21,-11.42054,51.40627
22,44.8791,7.9185157
23,-30.85468,36.888187
24,36.53797,-34.576344
25,1.5367807,-58.063473
26,22.775904,-46.58257
27,24.737396,-49.621185
28,-60.20789,6.161881
29,89.94834,-0.9683092
30,-3.9972668,56.91585
31,-4.4990096,33.704834
32,2.8710644,-13.170377
33,35.682724,-20.521545
34,-61.961117,27.993958
35,-31.80292,-29.347906
36,19.929981,38.054035
37,-47.454258,-4.0631247
38,-31.417952,-21.726728
39,2.3804865,-28.98671
40,-5.759385,-16.040686
41,-11.824178,-33.67416
42,26.206089,-46.92442
43,15.538383,-45.44401
44,36.9797,-31.157248
45,-9.975358,45.340725
46,23.10522,-28.922018
47,46.4027,24.95248
48,-61.95587,28.005413
49,-52.855225,0.8094722
50,-7.5722947,-14.950866
51,-49.955013,-31.858685
52,4.400407,18.916504
53,1.1341534,-58.40531
54,-47.183342,0.9623089
55,-16.868212,-34.89188
56,-53.73837,-1.0055345
57,-47.072956,31.736437
58,-0.41281265,-23.047276
59,9.448764,20.289314
60,-23.335794,18.801493
61,-35.582336,-40.785282
62,9.149172,37.0835
63,19.129623,49.803326
64,-25.081291,-46.92768
65,53.97865,2.7229443
66,0.60755724,-35.275906
67,-29.462023,-34.251003
68,3.3364913,-13.386
69,-4.688794,56.944756
70,89.89002,-3.6726863
71,-44.906776,-12.787965
72,-53.41707,-30.983494
73,3.026855,55.843582
74,-4.8590975,-26.866226
75,-27.89828,-8.882333
76,-37.93138,16.930847
77,-43.613613,-7.4214263
78,-59.529175,34.970715
79,-18.518513,0.3458115
80,-10.059691,-59.23146
81,34.116283,20.455038
82,6.481435,38.380344
83,88.40073,-2.9746149
84,31.882355,-13.847954
85,-38.093967,-43.220066
86,-53.412045,39.26874
87,10.911018,55.796925
88,29.68853,-37.64331
89,88.77135,1.0931039
90,29.930613,-12.100624
91,-70.94747,28.80989
92,-8.571468,-11.559627
93,-49.188362,5.5982437
94,-14.265436,-60.894855
95,19.117197,-11.284292
96,36.321346,33.141388
97,-2.620735,17.835518
98,-54.162354,39.882465
99,27.077059,-13.861991
100,22.260853,-42.314236
101,-16.620085,-30.065979
102,-38.77035,-39.92855
103,-63.920815,2.114587
104,-55.843708,-32.42634
105,26.87886,-49.715343
106,-55.0605,19.501625
107,-55.823822,-17.552116
108,-31.26632,-28.782087
109,59.731697,19.631493
110,-56.43978,-11.092989
111,1.7348971,-5.239033
112,-52.79145,-29.405163
113,-32.887955,-22.855844
114,-54.42856,-2.2955556
115,-37.58741,51.890224
116,-38.064762,49.27932
117,-59.5675,4.84769
118,-47.80566,-25.776909
119,-25.732521,13.727347
120,24.284958,-30.391918
121,-34.96955,-18.806284
122,7.29238,27.680563
123,24.71897,40.796078
124,-53.77331,0.59925944
125,-31.446434,-30.119883
126,7.6763716,-0.28357115
127,15.913125,-2.2921226
128,48.27089,-45.132088
129,14.904736,-37.140194
130,15.590835,-52.517258
131,-13.956024,-45.086765
132,10.176479,6.1389055
133,18.292055,2.680328
134,30.12365,-27.447874
135,-24.264812,-40.83967
136,-23.337112,17.636292
137,23.317556,-0.09028442
138,2.7098136,-1.5936035
139,-49.52076,-37.17515
140,34.97982,-2.5899582
141,3.0451648,-2.3902588
142,3.1694553,-42.86703
143,26.604288,-38.244633
144,23.580341,-52.46116
145,-36.251324,35.82883
146,-59.49135,34.88273
147,87.33099,-0.1017763
148,-33.93241,32.605164
149,-58.609146,2.61787
150,-4.789703,-26.960602
151,-32.87994,-22.683783
152,-21.231058,47.643272
153,1.6110892,-29.331835
154,-9.830945,-8.883765
155,-8.096837,-11.454555
156,2.1685617,-47.018898
157,-58.347183,2.4878018
158,-2.453641,9.865433
159,-34.8352,-35.112797
160,-53.318672,0.5710803
161,-58.027836,-31.493774
162,-9.260731,-8.394944
163,-6.911832,-42.03495
164,-35.75982,12.712417
165,93.28576,-2.4410067
166,34.009888,-16.843403
167,26.470524,4.73267
168,51.763832,-37.605263
169,-36.347664,2.0941062
170,-56.77541,-12.005835
171,-58.232445,-5.7994127
172,-14.653342,12.846538
173,-39.12404,51.44026
174,29.745173,-54.190243
175,-41.78201,34.30539
176,47.930073,-5.535916
177,48.763035,25.973625
178,51.854744,13.010456
179,-24.150599,-19.508865
180,40.005753,-3.0133638
181,-19.518345,-16.349815
182,-27.960455,21.348791
183,-24.409988,-38.651966
184,-14.970712,-16.988758
185,26.363304,0.4021541
186,0.76270705,-59.864086
187,47.589226,-10.840392
188,-54.232212,1.5352752
189,-35.53544,6.861887
190,-53.566093,39.567577
191,16.264988,-5.023166
192,-43.237755,-53.244118
193,38.517376,13.664589
194,22.460367,-6.114083
195,17.14282,54.502914
196,-66.19316,35.52393
197,-13.337455,-14.68121
198,28.241356,-49.513805
199,-67.147385,32.11433
200,-39.483448,0.38207698
201,0.28283143,-38.114403
202,-12.796688,-14.49784
203,-10.414068,14.818563
204,3.781133,-13.208532
205,-25.027977,-44.865723
206,-27.884764,-17.18988
207,-22.995008,-7.1867347
208,15.203066,-27.477129
209,-48.959637,-35.99492
210,-9.332534,-58.64905
211,3.813996,-22.605518
212,-53.541126,-0.31458044
213,-56.027115,-16.748997
214,39.456676,-21.214048
215,-0.098606646,30.20196
216,-42.37275,18.30258
217,-7.304006,-12.866846
218,-55.005283,-5.4609547
219,-8.596992,-36.6539
220,-11.227954,-27.299572
221,-57.3186,-2.753226
222,26.881443,-36.973183
223,22.223063,-47.49248
224,36.078503,-23.261333
225,65.739075,16.535248
226,48.56808,-43.03015
227,48.986824,10.641398
228,26.392296,-49.00581
229,-44.844486,31.652956
230,16.272604,-46.20489
231,4.3404665,-0.80591005
232,-16.471603,-16.500387
233,-53.91175,-23.033817
234,-49.13968,4.0168796
235,-58.81562,26.042286
236,-42.303352,-21.903212
237,17.642662,-5.4199514
238,26.850946,-2.5822537
239,-60.74496,26.713207
240,3.7728174,-31.584332
241,-51.494347,38.50523
242,21.13149,18.66222
243,19.067123,13.177071
244,28.84618,-6.6051435
245,96.08081,-3.3175719
246,13.016487,-31.538208
247,41.019215,-31.316017
248,-29.551031,-29.497707
249,-70.13836,29.537283
250,-25.743416,-35.17166
251,4.275857,31.914272
252,25.020773,-54.99328
253,96.08081,-3.3175719
254,61.77283,10.193658
255,-14.991725,-3.839516
256,-48.808163,-9.605395
257,54.194397,4.5049405
258,-53.220592,-33.93661
259,-34.690228,15.757456
260,-48.5949,41.529068
261,-49.423046,-46.29102
262,-59.663967,-3.1969235
263,42.533695,6.4655766
264,9.621396,20.541536
265,33.54734,3.3351905
266,-57.631256,-2.0770102
267,-58.20905,-5.7431087
268,-48.139664,-12.189955
269,-1.8768609,24.931726
270,40.797455,-30.780674
271,22.07445,-46.777378
272,2.90165,-14.812727
273,22.463083,-32.82474
274,5.650526,-43.95034
275,-23.393436,-0.7707599
276,-39.3439,50.314316
277,35.2151,-34.118412
278,0.5392057,1.9505888
279,13.2609,65.41459
280,52.688072,-32.529434
281,-44.74973,29.398626
282,6.16713,4.791878
283,-7.151749,5.0182233
284,-1.9264026,2.8569753
285,-10.884234,1.9802715
286,-57.160202,-22.49361
287,-36.88336,27.459904
288,-31.36309,-29.452372
289,-24.155197,-19.7194
290,12.079119,-15.465976
291,-16.13907,-23.457525
292,30.658651,-1.388198
293,6.0199075,-25.362497
294,17.742,-43.793453
295,-49.034718,12.756494
296,97.1616,-5.137211
297,-39.099068,-20.043198
298,-44.515022,-20.481308
299,27.914974,-41.2812
300,-7.230074,29.277105
301,27.131315,-32.53392
302,20.020424,-40.379196
303,-47.62182,13.6473465
304,-7.504328,-14.931049
305,0.9018942,-35.13061
306,29.851778,-42.37035
307,-31.43409,-28.647547
308,53.859375,-31.077282
309,18.419704,31.825361
310,11.284242,-5.5264535
311,45.32203,7.0845933
312,30.574501,-54.2754
313,-62.969044,-2.2389812
314,-8.156983,-8.643183
315,-16.605906,-29.848904
316,45.086926,26.961983
317,42.07826,-0.033644497
318,15.276881,46.608162
319,19.441431,-55.640392
320,-31.419626,-28.12636
321,-52.825256,18.944017
322,-45.316936,9.935135
323,11.723942,37.295616
324,-53.00633,2.925928
325,-7.358876,-6.662174
326,-0.67215633,62.664127
327,52.11718,-26.899746
328,-47.457874,25.666542
329,36.70599,-26.13284
